"","id","accession_number","fabric_general_region","fabric_style","shape","attribution","painter_group","painter_subgroup","earliest_date","latest_date","height_cm","N_entries"
"1","14084",NA,"athens","black-figure","loutrophoros",NA,NA,NA,-550,-500,NA,2
"2","14394",NA,"athens","black-figure","loutrophoros",NA,NA,NA,-525,-475,NA,2
"3","14407",NA,"athens","black-figure","loutrophoros",NA,NA,NA,-525,-475,NA,2
"4","302931",NA,"athens","black-figure","pelike","Nikoxenos_p",NA,NA,-550,-500,NA,2
"5","305060",NA,"athens","black-figure","loutrophoros","Sophilos",NA,NA,-600,-550,NA,2
"6","306060",NA,"athens","black-figure","pelike","Red_line_p",NA,NA,-525,-475,NA,2
"7","306101",NA,"athens","black-figure","pelike","Rhodes_pelike_p",NA,NA,-525,-475,NA,2
"8","306920",NA,"athens","black-figure","pelike","Red_line_p_related",NA,NA,-525,-475,NA,2
"9","351536",NA,"athens","black-figure","pelike","Theseus_p",NA,NA,-525,-475,NA,2
"10","41991",NA,"athens","black-figure","loutrophoros",NA,NA,NA,-525,-475,NA,2
"11","480",NA,"athens","black-figure","loutrophoros","Sappho_p",NA,NA,-525,-475,NA,2
"12","9028075",NA,"athens","black-figure","loutrophoros",NA,NA,NA,-525,-475,NA,2
"13","9028077",NA,"athens","black-figure","loutrophoros",NA,NA,NA,-525,-475,NA,2
"14","9030211",NA,"athens","black-figure","pelike","manner of acheloos p",NA,NA,-525,-475,NA,2
"15","9032518",NA,"athens","black-figure","pelike",NA,NA,NA,-550,-500,NA,2
"16","1000198",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"17","1000524",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"18","1000647",NA,"athens","red-figure","loutrophoros",NA,NA,NA,-450,-400,NA,1
"19","1000737",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"20","1000751",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"21","1000775",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"22","1000871",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"23","1000872",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"24","1000873",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"25","1000935",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"26","1000991",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"27","1001500",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"28","1001502",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"29","1001503",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"30","1001545",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"31","1001566",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"32","1001574",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"33","1001589",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"34","1001590",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"35","1001591",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"36","1001592",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"37","1001593",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"38","1001594",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"39","1001595",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"40","1001596",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"41","1001597",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"42","1001598",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"43","1001599",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"44","1001861",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"45","1001981",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"46","1001983",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"47","1002021",NA,"italy_south","red-figure","loutrophoros",NA,NA,NA,-420,-300,NA,1
"48","1002031",NA,"italy_south","red-figure","loutrophoros",NA,NA,NA,-420,-300,NA,1
"49","1002033",NA,"italy_south","red-figure","loutrophoros",NA,NA,NA,-420,-300,NA,1
"50","1002038",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"51","1002040",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"52","1002041",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"53","1002042",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"54","1002043",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"55","1002071",NA,"italy_south","red-figure","pelike",NA,NA,NA,-440,-300,NA,1
"56","1002073",NA,"italy_south","red-figure","pelike",NA,NA,NA,-440,-300,NA,1
"57","1002098",NA,"italy_south_campania","red-figure","amphora_neck",NA,NA,NA,-360,-300,NA,1
"58","1002306",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"59","1002716",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"60","1002717",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"61","1002718",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"62","1002719",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"63","1002720",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"64","1002798",NA,"italy_south","red-figure","pelike",NA,NA,NA,-360,-300,NA,1
"65","1002824",NA,"italy_south",NA,"pelike",NA,NA,NA,-360,-270,NA,1
"66","1003045",NA,"athens",NA,"amphora_neck",NA,NA,NA,-900,-700,NA,1
"67","1003428",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"68","1003533",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"69","1003534",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"70","1003542",NA,"italy_south","red-figure","amphora_neck",NA,NA,NA,-360,-300,NA,1
"71","1003835",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"72","1003840",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"73","1003841",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"74","1003842",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"75","1003843",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"76","1003844",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"77","1003845",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"78","1003846",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"79","1003847",NA,"italy_south","red-figure","loutrophoros",NA,NA,NA,-420,-300,NA,1
"80","1003883",NA,"italy_south","red-figure","pelike",NA,NA,NA,-440,-300,NA,1
"81","1004143",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"82","1004220",NA,"athens","black-figure","plemochoe_b",NA,NA,NA,-550,-500,NA,1
"83","1004221",NA,"athens","black-figure","plemochoe_b",NA,NA,NA,NA,NA,NA,1
"84","1004379",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"85","1004380",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"86","1004381",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"87","1004382",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"88","1004383",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"89","1004384",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"90","1004385",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"91","1004390",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"92","1004391",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"93","1004537",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"94","1004538",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"95","1004539",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"96","1004914",NA,"athens","black painted","pelike",NA,NA,NA,NA,NA,NA,1
"97","1005077",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"98","1005262",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"99","1005263",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"100","1005266",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"101","1005275",NA,"italy_south","red-figure","amphora_neck",NA,NA,NA,-360,-300,NA,1
"102","1005568",NA,"italy_south","red-figure","pelike",NA,NA,NA,-440,-300,NA,1
"103","1005571",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"104","1005572",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"105","1005574",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"106","1005643",NA,"italy_south","red-figure","amphora_neck",NA,NA,NA,-360,-300,NA,1
"107","1005650",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"108","1005745",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"109","1005797",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"110","1005798",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"111","1005799",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"112","1005800",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"113","1005801",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"114","1005802",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"115","1006106",NA,"italy_south","red-figure","amphora_neck",NA,NA,NA,-420,-300,NA,1
"116","1006111",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"117","1006112",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"118","1006198",NA,"italy_south_apulia","red-figure","amphora_neck",NA,NA,NA,-420,-300,NA,1
"119","1006199",NA,"italy_south","red-figure","loutrophoros",NA,NA,NA,-420,-300,NA,1
"120","1006200",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"121","1006201",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"122","1006202",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"123","1006203",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"124","1006204",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"125","1006310",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"126","1007016",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"127","1007046",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"128","1007339",NA,"italy_south","red-figure","pelike",NA,NA,NA,-440,-300,NA,1
"129","1007340",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"130","1007341",NA,"athens","red-figure","pelike",NA,NA,NA,-500,-450,NA,1
"131","1007342",NA,"athens","red-figure","pelike",NA,NA,NA,-400,-300,NA,1
"132","10074",NA,"athens","red-figure","pelike","hermonax",NA,NA,-500,-450,NA,1
"133","1007539",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"134","1007541",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"135","1007542",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"136","1007686",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"137","1007688",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"138","1007709",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"139","1007855",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"140","1007963",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"141","10084",NA,"athens","black-figure","cup_little_master_lip",NA,NA,NA,-550,-500,NA,1
"142","1008519",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"143","1008520",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"144","1008527",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"145","1008530",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"146","1008531",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"147","1008532",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"148","1008533",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"149","1008534",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"150","1008902",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"151","1008903",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"152","1008908",NA,"italy_south","red-figure","amphora_neck",NA,NA,NA,-360,-300,NA,1
"153","1008931",NA,"athens","black painted","pelike",NA,NA,NA,NA,NA,NA,1
"154","1008973",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"155","1008975",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"156","1008977",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"157","1008988",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"158","1009030",NA,"italy_south","red-figure","pelike",NA,NA,NA,-360,-300,NA,1
"159","1009047",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"160","1009049",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"161","1009050",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"162","1009348",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"163","1009349",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"164","1009350",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"165","1009351",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"166","1009352",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"167","1009353",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"168","1009354",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"169","1009355",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"170","1009356",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"171","1009357",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"172","1009358",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"173","1009359",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"174","1009549",NA,"athens","protoattic_outline","amphora_neck",NA,NA,NA,-700,-600,NA,1
"175","1010061",NA,"athens","black painted","pelike",NA,NA,NA,NA,NA,NA,1
"176","1010162",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"177","1010225",NA,"athens","red-figure","pelike","clio p",NA,NA,-450,-400,NA,1
"178","1010233",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"179","1010247",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"180","1010368",NA,"athens",NA,"amphora_neck",NA,NA,NA,-1050,-900,NA,1
"181","1010369",NA,"athens",NA,"amphora_neck",NA,NA,NA,-1050,-900,NA,1
"182","1010370",NA,"athens",NA,"amphora_neck",NA,NA,NA,-1050,-900,NA,1
"183","1010371",NA,"athens",NA,"amphora_neck",NA,NA,NA,-1050,-900,NA,1
"184","1010374",NA,"athens",NA,"amphora_neck",NA,NA,NA,-1050,-900,NA,1
"185","1010401",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"186","1010404",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"187","1010405",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"188","1010406",NA,"athens","silhouette","amphora_neck",NA,NA,NA,-900,-700,NA,1
"189","1010410",NA,"athens",NA,"amphora_neck",NA,NA,NA,-900,-700,NA,1
"190","1010413",NA,"athens",NA,"amphora_neck",NA,NA,NA,-900,-700,NA,1
"191","1010762",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"192","1010763",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"193","1010766",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"194","1010793",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"195","1010794",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"196","1010811",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"197","1011080",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"198","1011087",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"199","1011223",NA,"italy_south","red-figure","loutrophoros",NA,NA,NA,-420,-300,NA,1
"200","1011224",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"201","1011228",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"202","1011243",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"203","1011244",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"204","1011512",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"205","1011565",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"206","1011882",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"207","1011913",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"208","1011926",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"209","1011943",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"210","1011944",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"211","1011958",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"212","1011965",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"213","1011970",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"214","1012009",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"215","1012171",NA,"athens",NA,"amphora_neck",NA,NA,NA,-1050,-900,NA,1
"216","1012331",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"217","1012527",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"218","1012528",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"219","1012529",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"220","1012530",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"221","1012531",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"222","1012532",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"223","1012533",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"224","1012582",NA,"italy_south","red-figure","pelike",NA,NA,NA,-440,-300,NA,1
"225","1012595",NA,"italy_south","red-figure","amphora_neck",NA,NA,NA,-360,-300,NA,1
"226","1012640",NA,"italy_south","red-figure","loutrophoros",NA,NA,NA,-420,-300,NA,1
"227","1012641",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"228","1012642",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"229","1012643",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"230","1012644",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"231","1012645",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"232","1012713",NA,"athens","red-figure","pelike","group g",NA,NA,-400,-300,NA,1
"233","1012745",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"234","1012746",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"235","1012747",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"236","1012748",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"237","1012749",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"238","1012750",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"239","1012752",NA,"italy_south","black painted","pelike",NA,NA,NA,-360,-270,NA,1
"240","1012903",NA,"italy_south","red-figure","pelike",NA,NA,NA,-420,-300,NA,1
"241","10150",NA,"athens","black-figure","kyathos","Theseus_p_manner",NA,NA,-525,-475,NA,1
"242","1025",NA,"athens","black-figure","hydria",NA,NA,NA,-525,-475,NA,1
"243","10286",NA,"athens","red-figure","pelike","genuine (?)",NA,NA,-450,-400,NA,1
"244","10441",NA,"athens","red-figure","pelike","louvre g 539, p of",NA,NA,-450,-400,NA,1
"245","10467",NA,"athens","black-figure","lekythos","Phanyllis_p",NA,NA,-525,-475,NA,1
"246","10545",NA,"athens","black-figure","lekythos","Arming_lekythoi_group",NA,NA,-525,-475,NA,1
"247","10546",NA,"athens","red-figure","pelike","kerch",NA,NA,-400,-300,NA,1
"248","10555",NA,"athens","black-figure","cup_mastoid",NA,NA,NA,-525,-475,NA,1
"249","1060",NA,"athens","black-figure","cup_siana","Boston_ca_p",NA,NA,NA,NA,NA,1
"250","10627",NA,"athens","black-figure","cup_a",NA,NA,NA,-550,-500,NA,1
"251","1063",NA,"athens","black-figure","amphora_b","Gorgon_p_near",NA,NA,-600,-550,NA,1
"252","10639",NA,"athens","black-figure","amphora_panathenaic","Kuban_group_manner",NA,NA,-425,-375,NA,1
"253","10682",NA,"athens","red-figure","pelike",NA,NA,NA,-500,-450,NA,1
"254","10696",NA,"athens","red-figure","pelike",NA,NA,NA,-475,-425,NA,1
"255","10741",NA,"athens","red-figure","pelike",NA,NA,NA,-450,-400,NA,1
"256","10853",NA,"athens","black-figure","cup_droop",NA,NA,NA,-550,-500,NA,1
"257","10882",NA,"athens","red-figure","pelike",NA,NA,NA,-450,-400,NA,1
"258","10941",NA,"athens","red-figure","loutrophoros",NA,NA,NA,-425,-375,NA,1
"259","10964",NA,"athens","black-figure","hydria",NA,NA,NA,-550,-500,NA,1
"260","10966",NA,"athens","black-figure","lekanis",NA,NA,NA,-575,-525,NA,1
"261","11061",NA,"athens","black-figure","hydria",NA,NA,NA,-525,-475,NA,1
"262","11087",NA,"athens","black-figure","pelike",NA,NA,NA,-550,-500,NA,1
"263","11135",NA,"athens","red-figure","pelike",NA,NA,NA,-450,-400,NA,1
"264","11136",NA,"athens","red-figure","pelike",NA,NA,NA,-450,-400,NA,1
"265","11168",NA,"athens","red-figure","pelike",NA,NA,NA,-400,-300,NA,1
"266","11175",NA,"athens","red-figure","pelike",NA,NA,NA,-400,-300,NA,1
"267","11178",NA,"athens","red-figure","pelike",NA,NA,NA,-525,-475,NA,1
"268","11219",NA,"athens","red-figure","pelike",NA,NA,NA,-400,-300,NA,1
"269","11221",NA,"athens","red-figure","pelike",NA,NA,NA,-475,-425,NA,1
"270","11258",NA,"athens","black-figure","lekythos","Arming_lekythoi_group",NA,NA,-525,-475,NA,1
"271","11263",NA,"athens","black-figure","hydria",NA,NA,NA,-575,-525,NA,1
"272","11285",NA,"athens","red-figure","pelike","attic query",NA,NA,-450,-400,NA,1
"273","11289",NA,"athens","red-figure","pelike","attic query",NA,NA,-400,-300,NA,1
"274","11290",NA,"athens","red-figure","pelike",NA,NA,NA,-450,-400,NA,1
"275","11291",NA,"athens","red-figure","pelike",NA,NA,NA,-425,-375,NA,1
"276","11292",NA,"athens","red-figure","pelike",NA,NA,NA,-425,-375,NA,1
"277","11351",NA,"athens","black-figure","cup_mastoid",NA,NA,NA,-525,-475,NA,1
"278","1169",NA,"athens","black-figure","cup_little_master_band",NA,NA,NA,-550,-500,NA,1
"279","1172",NA,"athens","black-figure","lekanis","Polos_p_manner",NA,NA,-600,-550,NA,1
"280","1176",NA,"athens","black-figure","lekythos","Beldam_p_workshop",NA,NA,-500,-450,NA,1
"281","1177",NA,"athens","black-figure","lekythos","Beldam_p_workshop",NA,NA,-500,-450,NA,1
"282","11778",NA,"athens","red-figure","pelike","amazon p",NA,NA,-400,-300,NA,1
"283","1190",NA,"athens","black-figure","amphora_neck","Red_line_p",NA,NA,-525,-475,NA,1
"284","1191",NA,"athens","black-figure","amphora_neck","Antimenes_p_manner",NA,NA,-525,-475,NA,1
"285","11956",NA,"athens","black-figure","pelike",NA,NA,NA,-525,-475,NA,1
"286","12023",NA,"athens","black-figure","pelike",NA,NA,NA,-525,-475,NA,1
"287","12066",NA,"athens","red-figure","pelike",NA,NA,NA,-450,-400,NA,1
"288","12079",NA,"athens","red-figure","pelike",NA,NA,NA,-425,-375,NA,1
"289","1210",NA,"athens","black-figure","olpe",NA,NA,NA,-525,-475,NA,1
"290","12122",NA,"athens","red-figure","loutrophoros",NA,NA,NA,-450,-400,NA,1
"291","12138",NA,"athens","black-figure","cup_droop",NA,NA,NA,-550,-500,NA,1
"292","12283",NA,"athens","red-figure","pelike",NA,NA,NA,-400,-300,NA,1
"293","12353",NA,"athens","black-figure","pelike",NA,NA,NA,-525,-475,NA,1
"294","12362",NA,"athens","red-figure","pelike",NA,NA,NA,-450,-400,NA,1
"295","12369",NA,"athens","black-figure","cup_a","Pittsburgh_p_manner",NA,NA,-550,-500,NA,1
"296","12381",NA,"athens","black-figure","pelike",NA,NA,NA,-525,-475,NA,1
"297","1241",NA,"athens","black-figure","plemochoe_a",NA,NA,NA,-550,-500,NA,1
"298","1242",NA,"athens","black-figure","lekanis","Swan_group",NA,NA,-575,-525,NA,1
"299","12436",NA,"athens","black-figure","amphora_b",NA,NA,NA,-600,-550,NA,1
"300","1244",NA,"athens","black-figure","olpe","Dot_ivy_class",NA,NA,-550,-500,NA,1
"301","1246",NA,"athens","black-figure","oinochoe","Collar_of_esses_class",NA,NA,-525,-475,NA,1
"302","12474",NA,"athens","black-figure","chous",NA,NA,NA,-425,-375,NA,1
"303","1248",NA,"athens","black-figure","oinochoe",NA,NA,NA,-575,-525,NA,1
"304","12526",NA,"athens","red-figure","pelike",NA,NA,NA,-450,-400,NA,1
"305","12527",NA,"athens","red-figure","pelike","manner of shuvalov p",NA,NA,-450,-400,NA,1
"306","12577",NA,"athens","red-figure","pelike",NA,NA,NA,-475,-425,NA,1
"307","1261",NA,"athens","black-figure","lekythos","Beldam_p_manner",NA,NA,-500,-450,NA,1
"308","12678",NA,"athens","red-figure","pelike","manner of washing p",NA,NA,-450,-400,NA,1
